Title,,,,,,,Date,View,Link
"
Just Play 😎"
[Just Play!] 벚꽃 엔딩 - 버스커버스커 (Busker Busker) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2017. 2. 15.,"287,096",https://www.youtube.com/watch?v=evTi9dW77jE&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=69&t=0s
[Just Play!] 오빠야 (Sweet Heart) - 신현희와 김루트 (SEENROOT)  [Guitar Cover｜기타 커버] - YouTube,,,,,,,2017. 2. 9.,"285,963",https://www.youtube.com/watch?v=D_0uloECnwY&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=70&t=0s
[Just Play!] 너에게 난 나에게 넌 - 자전거 탄 풍경 [Guitar Cover｜기타 커버] - YouTube,,,,,,,2017. 2. 1.,"216,802",https://www.youtube.com/watch?v=GrzwMFvU-oc&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=71&t=0s
[Just Play!] 나만 안되는 연애 (Hard To Love) - 볼빨간사춘기 (Bolbbalgan4) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2017. 1. 26.,"109,487",https://www.youtube.com/watch?v=qnvKHpzYHUY&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=72&t=0s
[Just Play!] 첫눈처럼 너에게 가겠다 (도깨비OST) - 에일리 (Ailee) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2017. 1. 20.,"242,819",https://www.youtube.com/watch?v=fsnm7LalHVA&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=73&t=0s
[Just Play!] Beautiful - 크러쉬 (Crush) '도깨비' OST [Guitar Cover｜기타 커버] - YouTube,,,,,,,2017. 1. 11.,"406,281",https://www.youtube.com/watch?v=m5Bp27nX6Qk&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=74&t=0s
[Just Play!] To Be With You - MR.BIG (미스터빅) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2016. 12. 28.,"47,177",https://www.youtube.com/watch?v=VShy2z5_DOk&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=75&t=0s
[Just Play!] 에라 모르겠다 (FXXK IT) - 빅뱅 (BIGBANG) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2016. 12. 16.,"69,059",https://www.youtube.com/watch?v=9DPLjeKvNs8&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=76&t=0s
[Just Play!] Officially Missing You - Geeks (긱스) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2016. 12. 13.,"96,650",https://www.youtube.com/watch?v=zLN1CERZrAw&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=77&t=0s
[Just Play!] 위잉위잉 (Wi ing Wi ing) - 혁오 (Hyukoh) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2016. 12. 5.,"157,907",https://www.youtube.com/watch?v=QgrrTI0c6h8&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=78&t=0s
